номер;город
1104;Черкесск
1106;Грозный
1107;Анапа
1161;Свольвер
2214;Оре
2215;Орескутан
2824;Леви
3016;Скапа
3958;Уэксфорд
109561;Солсбери
109560;Рочдейл
3979;Графство Донегол
4048;Вестманнаэйяр
4063;Акурейри
4065;Гримси
4090;Сэйдисфьордур
4108;Исафьордур
4127;Акранес
6012;Киркьюбур
6013;Саксун
6014;Хусар
6120;Оденсе
6170;Роскилле
6585;Клерво
6586;Вианден
6587;Эш-сюр-Сюр
6597;Эхтернах
6598;Шенген
6989;Мальбюн
7222;Нант
7727;Энкам
7728;Ла Массана
8529;Эшторил
8533;Кашкайш
8547;Брага
9000;Яндекс.wifi
9980;Яндекс.ДЦ.Ивантеевка
9981;Яндекс.ДЦ.DC3
9982;Яндекс.ДЦ.ЭТО
9983;Яндекс.ДЦ.Фиан
9984;Яндекс.ДЦ.Угрешка
9990;Яндекс.КР
9991;Яндекс.Самокатная
9992;Яндекс.Бенуа
9993;Яндекс.ЕКБ
9994;Яндекс.Бёрлингейм
9995;Яндекс.Киев
9996;Яндекс.Одесса
9997;Яндекс.Симферополь
9999;Яндекс (Москва)
10000;Земля (Весь мир)
10001;Евразия
10002;Северная Америка
10003;Южная Америка
10013;Ямайка
10015;Боливия
10017;Куба
10020;Марокко
10021;ЮАР
10022;Сейшельские острова
10023;Ливия
10024;Тунис
10029;Кокосовые острова
10030;Фиджи
10054;Албания
10057;Босния и Герцеговина
10063;Ирландия
10064;Исландия
10067;Лихтенштейн
10068;Македония
10069;Мальта
10070;Монако
10074;Португалия
10077;Румыния
10083;Хорватия
10088;Андорра
10089;Гибралтар
10090;Афганистан
10091;Бангладеш
10093;Вьетнам
10095;Индонезия
10097;Малайзия
10098;Мальдивы
10099;Монголия
10100;Мьянма
10101;Непал
10102;Пакистан
10104;Северная Корея
10105;Сингапур
10108;Филиппины
10109;Шри-Ланка
10114;Оттава
10115;Торонто
10119;Гонолулу
10122;Майами
10127;Солт-Лейк-Сити
10129;Филадельфия
10130;Хьюстон
10131;Чикаго
10132;Кингстон
10133;Буэнос-Айрес
10134;Ла-Пас
10135;Санта-Крус-де-ла-Сьерра
10136;Бразилиа
10137;Гавана
10138;Касабланка
10139;Рабат
10140;Претория
10141;Виктория
10142;Триполи
10143;Тунис
10144;Канберра
10145;Сидней
10146;Таунсвилл
10147;Веллингтон
10148;Уэст-Айленд
10149;Нанди
10150;Сува
10174;Санкт-Петербург и Ленинградская область
10176;Ненецкий автономный округ
10231;Республика Алтай
10233;Республика Тыва
10235;Таймырский район
10239;Эвенкийский район
10243;Еврейская автономная область
10251;Чукотский автономный округ
10253;Баку
10254;Гянджа
10255;Сумгаит
10256;Нахичевань
10257;Армавир
10258;Ванадзор
10259;Гюмри
10260;Джермук
10261;Дилижан
10262;Ереван
10263;Севан
10265;Цахкадзор
10274;Гродно
10275;Полоцк
10276;Орша
10277;Тбилиси
10278;Батуми
10279;Кутаиси
10280;Гагра
10281;Сухум
10282;Пицунда
10283;Поти
10284;Гори
10285;Рустави
10289;Аральск
10291;Атырау
10292;Байконур
10293;Балхаш
10295;Костанай
10298;Петропавловск
10300;Рудный
10301;Рузаевка
10303;Талдыкорган
10305;Уральск
10306;Усть-Каменогорск
10308;Жезказган
10309;Бишкек
10310;Ош
10311;Балыкчи
10312;Джалал-Абад
10313;Кишинев
10314;Бельцы
10315;Бендеры
10316;Рыбница
10317;Тирасполь
10318;Душанбе
10319;Курган-Тюбе
10320;Пенджикент
10321;Нурек
10322;Худжанд
10324;Ашхабад
10325;Туркменабад
10326;Туркменбаши
10327;Дашогуз
10328;Алмалык
10329;Андижан
10330;Бухара
10331;Карши
10332;Коканд
10333;Октябрьский
10334;Самарканд
10335;Ташкент
10336;Фергана
10337;Нукус
10338;Термез
10339;Хива
10343;Житомир
10345;Ивано-Франковск
10347;Кривой Рог
10355;Ровно
10357;Тернополь
10358;Ужгород
10363;Черкассы
10365;Черновцы
10366;Мариуполь
10367;Мелитополь
10368;Чернобыль
10369;Белая Церковь
10370;Баден
10371;Вена
10372;Зальцбург
10373;Инсбрук
10374;Тирана
10375;Антверпен
10376;Брюссель
10377;Льеж
10378;Албена
10379;София
10380;Бургас
10381;Варна
10382;Габрово
10383;Димитровград
10384;Золотые Пески
10385;Пловдив
10386;Сопот
10387;Сараево
10388;Абердин
10389;Глазго
109558;Портсмут
109556;Ньюквей
10393;Лондон
109554;Милтон-Кинс
109553;Мидлсбро
10397;Эдинбург
10398;Будапешт
10399;Папа
10400;Баден-Баден
10402;Бонн
10403;Бремен
10405;Ганновер
10407;Дрезден
10408;Дюссельдорф
10410;Лейпциг
10412;Нюрнберг
10417;Потсдам
10418;Афины
10419;Ираклион
10420;Кастория
10421;Ларнака
10422;Лемнос
10423;Родос
10424;Салоники
10425;Копенгаген
10426;Дублин
10427;Белфаст
10428;Рейкьявик
10429;Барселона
10430;Валенсия
10431;Гвадалахара
10432;Ивиса
10433;Картахена
10434;Коста-Брава
10435;Мадрид
10436;Майорка
10437;Малага
10438;Марбелья
10439;Менорка
10440;Севилья
10441;Тенерифе
10442;Эстепона
10443;Санта-Крус-де-Тенерифе
10444;Болонья
10445;Рим
10446;Неаполь
10447;Генуя
10448;Милан
10449;Турин
10450;Бриндизи
10451;Венеция
10452;Верона
10453;Кальяри
10454;Капри
10455;Ливиньо
